item_id,waist,cup size,hips,bra size,length,height,fit,size
124761,28,dd/e,34,34,just right,65,fit,7
125442,31,c,36,34,just right,67,fit,11
125602,27,a,33,34,just right,64,fit,5
126560,25,b,35,32,just right,64,fit,4
126560,29,c,41,36,slightly short,68,fit,12
126560,30,c,40,36,slightly short,67,fit,8
126885,27,dd/e,37,34,just right,69,fit,12
126885,34,c,50,36,just right,68,fit,15
126885,29,d,40,36,just right,68,fit,12
126885,44,ddd/f,50,40,just right,63,fit,26
127779,28,b,38,34,just right,64,fit,8
128458,27,c,38,32,just right,64,fit,4
128458,23,b,32,28,just right,63,fit,1
129268,27,dddd/g,34,34,just right,59,fit,8
129268,33,ddd/f,36,38,just right,63,fit,12
129268,31,c,42,36,just right,67,fit,12
130424,49,dd/e,51,42,just right,66,fit,32
131951,31,c,41,34,just right,66,fit,8
133565,42,c,52,42,just right,68,fit,26
134278,42,c,51,42,just right,68,fit,26
134609,28,c,40,36,just right,64,fit,12
136482,32,b,42,36,just right,63,fit,12
136482,26,c,36,34,just right,64,fit,4
136482,32,d,43,36,just right,61,fit,15
136482,32,b,42,32,just right,61,fit,4
136482,27,b,31,38,just right,66,fit,8
136482,32,c,43,38,just right,66,fit,12
136482,29,dd/e,39,36,just right,61,fit,8
136482,35,c,39,40,just right,64,fit,15
136482,24,dddd/g,36,28,just right,62,fit,4
136482,28,b,39,34,slightly short,68,fit,8
136482,28,c,38,36,just right,67,fit,8
136482,36,b,40,34,just right,62,fit,12
136482,29,dd/e,38,34,just right,64,fit,4
137040,30,a,40,34,just right,68,fit,9
137040,30,ddd/f,40,32,just right,61,fit,9
138006,32,d,38,34,slightly long,64,fit,12
138006,36,c,43,38,just right,67,fit,15
138006,24,dd/e,35,32,just right,65,fit,4
138006,29,c,38,36,slightly long,65,fit,12
138997,42,c,49,38,slightly long,63,fit,26
139123,34,a,36,34,just right,63,fit,5
139838,30,dd/e,36,34,slightly short,60,fit,8
140292,27,ddd/f,35,32,slightly long,66,fit,4
140372,44,b,46,42,slightly short,69,fit,32
140372,29,dd/e,38,34,just right,63,fit,8
141102,30,b,36,34,just right,65,fit,4
141850,33,a,44,36,just right,67,fit,15
143287,31,c,42,36,very long,66,fit,8
143287,30,a,37,34,just right,63,fit,8
143287,34,dddd/g,42,36,just right,68,fit,15
144486,34,ddd/f,43,38,slightly short,70,fit,15
144979,44,ddd/f,50,40,just right,63,fit,21
144979,36,dddd/g,43,34,slightly short,68,fit,13
145349,33,c,44,36,just right,68,fit,15
146231,26,a,32,32,just right,64,fit,4
146231,27,d,39,38,just right,68,fit,12
146231,28,a,34,32,slightly long,60,fit,4
146231,28,c,38,32,just right,66,fit,8
146231,26,a,31,32,just right,64,fit,4
146231,29,c,37,32,just right,66,fit,8
146808,38,d,44,40,slightly long,64,fit,18
146808,34,c,35,38,just right,70,fit,15
146808,29,ddd/f,36,34,just right,66,fit,9
147714,41,dd/e,51,42,slightly short,63,fit,26
147714,23,c,33,32,slightly long,63,fit,1
148292,27,b,38,34,slightly short,69,fit,4
148292,31,d,39,34,very long,65,fit,12
148292,29,b,39,36,just right,68,fit,8
149735,29,c,41,32,slightly short,70,fit,8
149735,21,b,33,34,just right,62,fit,1
150139,29,c,39,34,just right,64,fit,8
150139,28,b,34,34,just right,66,fit,4
151045,40,c,46,36,slightly short,69,fit,15
151045,39,d,46,38,just right,69,fit,20
151160,29,b,40,36,slightly long,64,fit,7
151160,34,dd/e,46,38,slightly long,67,fit,18
151160,27,d,30,32,just right,63,fit,3
151692,26,dd/e,32,30,just right,62,fit,4
152513,30,dd/e,40,34,just right,64,fit,12
152513,36,d,45,38,just right,61,fit,15
152513,48,ddd/f,54,44,just right,68,fit,38
152513,33,c,42,34,just right,67,fit,12
152513,28,c,37,36,just right,63,fit,8
152513,35,d,42,38,just right,67,fit,15
152513,32,c,39,36,just right,63,fit,12
152702,26,c,36,34,slightly short,66,fit,4
152702,25,c,35,32,slightly long,61,fit,4
152702,25,c,32,32,just right,66,fit,4
154411,34,ddd/f,41,36,just right,66,fit,20
154411,31,a,42,36,slightly short,71,fit,12
154411,37,dd/e,48,36,slightly short,65,fit,15
154411,32,dddd/g,42,36,just right,61,fit,15
154411,34,ddd/f,42,38,just right,62,fit,15
154411,27,b,37,34,just right,62,fit,8
154411,31,d,41,38,just right,65,fit,12
155256,29,dd/e,40,34,just right,63,fit,8
155256,29,c,38,34,just right,63,fit,4
155256,31,ddd/f,39,34,just right,67,fit,12
155256,32,c,40,34,just right,64,fit,12
155256,30,a,40,36,just right,70,fit,8
155530,33,d,42,38,just right,63,fit,12
155530,34,d,44,34,just right,61,fit,12
155530,29,dd/e,39,36,just right,67,fit,12
155981,29,b,38,34,slightly long,68,fit,8
155981,36,c,44,36,slightly long,66,fit,15
155981,28,b,40,36,slightly long,65,fit,8
155981,30,b,41,34,slightly long,64,fit,8
156364,33,c,40,38,slightly short,63,fit,12
157334,35,dd/e,45,36,just right,64,fit,15
157334,26,d,38,32,just right,70,fit,8
157334,32,c,41,36,just right,68,fit,12
159891,26,a,38,32,just right,64,fit,1
159891,31,d,41,36,just right,62,fit,8
160625,28,b,32,34,just right,65,fit,7
160625,34,dd/e,42,36,slightly long,64,fit,15
160625,37,d,46,36,just right,67,fit,18
160625,28,a,36,34,just right,62,fit,7
161320,26,c,35,32,slightly long,62,fit,4
161320,35,c,42,38,just right,64,fit,15
161320,25,b,36,32,slightly long,65,fit,4
161320,36,d,40,38,just right,71,fit,15
161320,22,c,33,28,just right,62,fit,1
161320,31,dd/e,44,36,just right,67,fit,12
161514,30,b,39,36,just right,63,fit,8
161514,28,b,39,34,just right,65,fit,4
161514,31,d,32,36,just right,64,fit,12
161514,27,c,37,34,just right,62,fit,4
161514,39,dd/e,45,36,just right,62,fit,12
161514,26,b,37,34,just right,65,fit,4
161592,29,c,38,36,just right,62,fit,11
161592,35,dd/e,38,40,just right,60,fit,18
161592,28,d,36,36,just right,61,fit,7
161592,30,c,38,36,just right,67,fit,9
161592,35,ddd/f,46,38,slightly long,65,fit,18
161592,33,d,42,38,just right,61,fit,15
161592,35,b,41,36,just right,61,fit,13
161592,31,b,41,36,just right,64,fit,13
161592,34,c,41,32,just right,65,fit,18
161592,42,dd/e,47,38,just right,64,fit,33
161592,25,b,30,32,just right,63,fit,5
162470,26,dd/e,36,34,just right,63,fit,12
162470,32,c,41,36,just right,68,fit,12
162470,28,c,41,28,just right,67,fit,4
162470,33,d,43,36,slightly short,66,fit,12
