waist,hips,bra size,size
29,38,34,7
31,30,36,13
27,41,36,11
28,34,34,7
31,36,34,11
27,33,34,5
25,35,32,4
29,41,36,12
30,40,36,8
28,36,34,8
27,37,34,12
34,50,36,15
29,40,36,12
44,50,40,26
33,41,42,8
26,34,32,4
28,38,34,8
27,38,32,4
23,32,28,1
27,34,34,8
33,36,38,12
31,42,36,12
49,51,42,32
31,41,34,8
26,34,32,4
27,33,32,4
37,46,36,15
42,52,42,26
31,43,38,15
42,51,42,26
28,40,36,12
32,42,36,12
26,36,34,4
31,41,34,12
32,43,36,15
32,42,32,4
27,31,38,8
32,43,38,12
29,39,36,8
35,39,40,15
24,36,28,4
28,39,34,8
28,38,36,8
36,40,34,12
29,38,34,4
28,39,32,8
30,40,34,9
30,40,32,9
32,38,34,12
36,43,38,15
24,35,32,4
29,38,36,12
42,49,38,26
29,35,34,8
28,38,32,5
34,36,34,5
36,45,38,15
30,36,34,8
31,41,34,15
27,35,32,4
34,45,38,15
30,34,36,8
44,46,42,32
29,38,34,8
30,36,34,4
38,42,38,15
33,44,36,15
32,47,36,15
31,42,36,8
30,37,34,8
32,42,36,15
34,42,36,15
48,52,38,20
34,43,38,15
44,50,40,21
36,43,34,13
37,42,42,20
33,44,36,15
26,32,32,4
27,39,38,12
28,34,32,4
28,38,32,8
26,31,32,4
38,37,34,8
30,42,30,8
29,37,32,8
38,44,40,18
34,35,38,15
22,34,32,3
29,36,34,9
41,51,42,26
28,36,36,12
23,33,32,1
27,38,34,4
31,39,34,12
29,39,36,8
29,35,34,8
29,41,32,8
21,33,34,1
28,39,34,4
29,39,34,8
28,34,34,4
40,46,36,15
39,46,38,20
29,40,36,7
34,46,38,18
36,47,38,18
27,30,32,3
24,30,32,3
28,37,32,4
27,36,32,4
26,32,30,4
28,30,34,12
30,40,34,12
36,45,38,15
29,36,36,12
48,54,44,38
33,42,34,12
38,47,38,26
28,37,36,8
35,42,38,15
32,48,36,15
29,41,32,12
32,39,36,12
27,37,32,4
26,36,34,4
25,35,32,4
25,32,32,4
28,40,34,8
34,41,36,20
31,42,36,12
37,48,36,15
32,42,36,15
34,42,38,15
27,37,34,8
31,41,38,12
31,41,32,8
29,40,34,8
29,38,34,4
31,39,34,12
32,40,34,12
30,40,36,8
33,42,38,12
34,44,34,12
29,39,36,12
29,38,34,8
36,44,36,15
28,40,36,8
30,41,34,8
33,40,38,12
37,44,38,15
39,49,38,26
35,45,36,15
26,38,32,8
32,41,36,12
32,48,36,15
28,38,34,12
26,38,32,1
31,41,36,8
32,43,38,11
28,32,34,7
45,48,44,27
27,38,36,5
34,42,36,15
30,36,34,7
37,46,36,18
28,36,34,7
26,35,32,4
31,42,32,15
35,42,38,15
36,49,36,15
25,36,32,4
36,40,38,15
22,33,28,1
27,38,34,4
31,44,36,12
30,39,36,8
28,39,34,4
31,32,36,12
30,40,36,12
27,37,34,4
39,45,36,12
26,37,34,4
29,38,36,11
35,38,40,18
28,36,36,7
30,38,36,9
35,46,38,18
33,42,38,15
35,41,36,13
29,40,34,13
31,41,36,13
34,41,32,18
34,43,44,18
42,47,38,33
32,38,36,9
25,30,32,5
32,47,36,15
26,36,34,12
27,37,32,8
32,41,36,12
28,41,28,4
33,43,36,12
